id,ride_id,customer_id,driver_id,pickup_area,dropoff_area,ride_start_time,ride_end_time,ride_duration_minutes,distance_km,fare_bdt,driver_rating,customer_rating,ride_status,cancellation_reason,payment_method
26,R_200026,C_3449,D_3574,Savar,Cantonment,2024-06-06 04:12:00,2024-06-06 04:47:00,35,14.47,466.18,4.8,3,Completed,,Card
27,R_200027,C_3687,D_3686,Cantonment,Rampura,2024-08-26 15:49:00,2024-08-26 16:07:00,18,5.1,123.58,3.4,4.8,Completed,,Pathao Pay
28,R_200028,C_2914,D_3025,Khilgaon,Dhanmondi,2024-06-10 13:42:00,2024-06-10 13:55:00,13,5.73,155.16,3.8,5,Completed,,Cash
29,R_200029,C_2473,D_3268,Uttara,Old Dhaka,2024-08-18 22:53:00,2024-08-18 23:53:00,60,16.4,478.7,5,3.2,Canceled,Customer changed mind,Card
30,R_200030,C_2182,D_3447,Gulshan,Farmgate,2024-03-31 02:13:00,2024-03-31 02:43:00,30,8.35,190.6,3.7,3.6,Completed,,Card
31,R_200031,C_4078,D_3317,Khilgaon,Mohakhali,2024-07-17 11:15:00,2024-07-17 12:30:00,75,16.08,409.38,4.4,4.8,Completed,,Card
32,R_200032,C_3664,D_3562,Cantonment,Gulshan,2024-07-29 14:46:00,2024-07-29 15:32:00,46,14.06,351.96,3.9,4.8,Completed,,Pathao Pay
33,R_200033,C_2348,D_3291,Farmgate,Khilgaon,2024-02-11 04:38:00,2024-02-11 05:13:00,35,12.66,285.99,3,3.5,Completed,,Cash
34,R_200034,C_3866,D_3425,Savar,Khilgaon,2024-03-12 17:14:00,2024-03-12 18:08:00,54,16.93,387.43,3,4.5,Completed,,Cash
35,R_200035,C_3742,D_3225,Uttara,Baridhara,2024-01-10 07:30:00,2024-01-10 08:06:00,36,15.4,322.29,3.9,4.1,Completed,,Card
36,R_200036,C_3813,D_3628,Cantonment,Rampura,2024-04-17 10:06:00,2024-04-17 11:21:00,75,22.53,485.8,3.9,4.5,Completed,,Card
37,R_200037,C_4136,D_3497,Khilgaon,Dhanmondi,2024-08-13 09:55:00,2024-08-13 10:36:00,41,9.98,257.72,3.2,3.3,Completed,,Pathao Pay
38,R_200038,C_2877,D_3066,Mohakhali,Motijheel,2024-03-29 09:33:00,2024-03-29 10:04:00,31,12.55,319.95,4.9,3,Canceled,Incorrect pickup location,bKash
39,R_200039,C_3954,D_3007,Motijheel,Banani,2024-06-15 10:25:00,2024-06-15 11:39:00,74,29.3,872.84,3.5,4,Completed,,bKash
40,R_200040,C_2677,D_3479,Savar,Uttara,2024-02-17 06:58:00,2024-02-17 07:53:00,55,18.69,506.8,3.9,4.7,Completed,,Card
41,R_200041,C_3553,D_3336,Dhanmondi,Bashundhara R/A,2024-07-17 13:11:00,2024-07-17 14:04:00,53,13.52,426.11,4.7,3.9,Completed,,Cash
42,R_200042,C_3434,D_3230,Khilgaon,Mirpur,2024-02-02 22:11:00,2024-02-02 22:47:00,36,8.42,176.67,3.3,4.3,Completed,,Pathao Pay
43,R_200043,C_3905,D_3263,Baridhara,Motijheel,2024-10-07 04:21:00,2024-10-07 04:40:00,19,7.41,174.16,4.2,4.9,Completed,,bKash
44,R_200044,C_3625,D_3204,Mirpur,Old Dhaka,2024-01-13 03:44:00,2024-01-13 04:27:00,43,17.61,466.28,5,4.6,Completed,,bKash
45,R_200045,C_3518,D_3071,Farmgate,Khilgaon,2024-07-10 23:05:00,2024-07-11 00:12:00,67,13.97,445.24,4.7,4.4,Completed,,Nagad
46,R_200046,C_3107,D_3631,Baridhara,Savar,2024-03-31 08:30:00,2024-03-31 09:09:00,39,10.41,256.74,3.6,3.9,Completed,,Nagad
47,R_200047,C_4500,D_3685,Mohakhali,Motijheel,2024-12-17 08:05:00,2024-12-17 08:33:00,28,8.73,219.48,3.6,4.2,Canceled,Incorrect pickup location,Cash
48,R_200048,C_4117,D_3196,Mirpur,Dhanmondi,2024-06-06 08:24:00,2024-06-06 08:59:00,35,12.83,360.2,4.6,3.2,Completed,,Pathao Pay
49,R_200049,C_3255,D_3680,Old Dhaka,Motijheel,2024-05-03 06:26:00,2024-05-03 07:25:00,59,26.5,679.06,3.9,3.6,Completed,,Pathao Pay
50,R_200050,C_3293,D_3123,Rampura,Farmgate,2024-01-13 18:47:00,2024-01-13 19:53:00,66,16.81,456.72,4.2,5,Completed,,Card
51,R_200051,C_2932,D_3370,Uttara,Banani,2024-12-24 01:25:00,2024-12-24 02:05:00,40,7.69,169.29,4.9,4.3,Completed,,Cash
52,R_200052,C_2051,D_3588,Banani,Bashundhara R/A,2024-04-30 09:38:00,2024-04-30 09:49:00,11,2.73,99.65,3.1,4,Completed,,Cash
53,R_200053,C_2622,D_3153,Baridhara,Old Dhaka,2024-07-29 21:44:00,2024-07-29 22:42:00,58,19.93,572.37,4,3.9,Completed,,Nagad
54,R_200054,C_3757,D_3313,Old Dhaka,Gulshan,2024-02-23 00:53:00,2024-02-23 01:24:00,31,10.82,250.75,3.5,4.1,Completed,,bKash
55,R_200055,C_3846,D_3609,Bashundhara R/A,Banani,2024-12-15 16:41:00,2024-12-15 17:22:00,41,15.16,389.23,4.8,4.6,Completed,,Pathao Pay
56,R_200056,C_3742,D_3118,Farmgate,Dhanmondi,2024-02-04 19:01:00,2024-02-04 19:24:00,23,4.58,117.71,4.5,4.1,Completed,,Cash
57,R_200057,C_3920,D_3312,Rampura,Mohakhali,2024-08-14 07:25:00,2024-08-14 08:26:00,61,12.3,255.92,3.6,3.5,Completed,,Nagad
58,R_200058,C_4405,D_3022,Baridhara,Khilgaon,2024-08-16 05:57:00,2024-08-16 06:24:00,27,8.29,252.35,3.4,4.2,Completed,,bKash
59,R_200059,C_2374,D_3482,Motijheel,Mohakhali,2024-07-14 13:17:00,2024-07-14 13:42:00,25,6.73,202.93,4.9,4.6,Completed,,bKash
60,R_200060,C_2361,D_3323,Banani,Motijheel,2024-11-02 11:04:00,2024-11-02 11:09:00,5,1.79,72.14,3.4,3.7,Completed,,bKash
61,R_200061,C_2212,D_3209,Banani,Farmgate,2024-10-25 14:31:00,2024-10-25 15:38:00,67,14.26,455.38,3.5,3.3,Completed,,Nagad
62,R_200062,C_3672,D_3096,Dhanmondi,Cantonment,2024-11-03 09:52:00,2024-11-03 10:16:00,24,7.55,231,3.5,4.7,Canceled,Customer changed mind,bKash
63,R_200063,C_4258,D_3149,Mohakhali,Dhanmondi,2024-02-29 07:12:00,2024-02-29 07:34:00,22,9.09,229.55,3.8,4.9,Completed,,Cash
64,R_200064,C_3159,D_3306,Cantonment,Old Dhaka,2024-03-10 02:28:00,2024-03-10 02:52:00,24,7.21,198.33,4.5,3.8,Canceled,Customer changed mind,Pathao Pay
65,R_200065,C_4343,D_3393,Dhanmondi,Cantonment,2024-06-04 22:39:00,2024-06-04 23:44:00,65,24.08,695.63,4.3,4.6,Canceled,Long waiting time,Cash
66,R_200066,C_2518,D_3515,Old Dhaka,Motijheel,2024-11-10 09:53:00,2024-11-10 10:56:00,63,11.6,266.29,4.9,3.1,Completed,,Card
67,R_200067,C_3387,D_3639,Rampura,Mohakhali,2024-02-03 21:05:00,2024-02-03 22:18:00,73,20.63,484.11,4.5,4.7,Completed,,Cash
68,R_200068,C_2962,D_3647,Khilgaon,Savar,2024-08-06 16:12:00,2024-08-06 17:12:00,60,26.65,756.94,3.2,3.3,Completed,,Cash
69,R_200069,C_2189,D_3333,Baridhara,Gulshan,2024-08-03 12:36:00,2024-08-03 12:59:00,23,5.66,163.5,3.4,3.4,Completed,,bKash
70,R_200070,C_2987,D_3510,Savar,Old Dhaka,2024-10-19 16:30:00,2024-10-19 17:07:00,37,11.25,330.5,3.9,3.6,Completed,,Cash
71,R_200071,C_3810,D_3354,Old Dhaka,Banani,2024-02-08 10:15:00,2024-02-08 11:18:00,63,25.72,552.14,4,3.5,Completed,,Nagad
72,R_200072,C_3212,D_3303,Gulshan,Cantonment,2024-01-29 11:42:00,2024-01-29 11:53:00,11,4.68,162.75,4.8,4.6,Completed,,Card
73,R_200073,C_2898,D_3652,Dhanmondi,Old Dhaka,2024-08-25 02:11:00,2024-08-25 02:33:00,22,7.69,254.71,3.6,3.9,Completed,,Pathao Pay
74,R_200074,C_2370,D_3303,Motijheel,Rampura,2024-06-02 18:47:00,2024-06-02 20:01:00,74,30.83,720.33,3.5,3.3,Canceled,Long waiting time,Card
75,R_200075,C_3388,D_3118,Bashundhara R/A,Mirpur,2024-10-20 16:04:00,2024-10-20 16:59:00,55,24.26,698.23,4.6,3,Completed,,bKash
76,R_200076,C_3510,D_3689,Rampura,Khilgaon,2024-08-19 05:35:00,2024-08-19 06:27:00,52,10.88,246.87,4.8,4.1,Canceled,Customer changed mind,Cash
77,R_200077,C_3902,D_3310,Khilgaon,Mohakhali,2024-11-02 19:57:00,2024-11-02 20:40:00,43,19.3,398.99,4.1,3.8,Completed,,Nagad
78,R_200078,C_3717,D_3602,Rampura,Uttara,2024-06-02 03:53:00,2024-06-02 05:00:00,67,23.2,704.63,4.4,3.4,Completed,,Pathao Pay
79,R_200079,C_3486,D_3102,Khilgaon,Motijheel,2024-03-28 03:37:00,2024-03-28 04:32:00,55,14,453.64,4.6,3.2,Completed,,Nagad
80,R_200080,C_2088,D_3052,Baridhara,Motijheel,2024-08-29 19:09:00,2024-08-29 19:40:00,31,6.15,191.31,3.4,4.7,Completed,,Pathao Pay
81,R_200081,C_4442,D_3003,Banani,Cantonment,2024-10-18 19:25:00,2024-10-18 19:52:00,27,5.66,183.37,3.7,4.6,Completed,,Cash
82,R_200082,C_2714,D_3272,Gulshan,Uttara,2024-05-30 07:52:00,2024-05-30 08:05:00,13,4.01,139.88,3.2,4,Canceled,Driver no-show,Nagad
83,R_200083,C_3236,D_3470,Khilgaon,Gulshan,2024-11-30 08:05:00,2024-11-30 09:04:00,59,21.55,552.88,3.1,3.2,Completed,,Cash
84,R_200084,C_2517,D_3282,Old Dhaka,Khilgaon,2024-03-07 06:14:00,2024-03-07 07:07:00,53,23.77,608.27,4.2,3.2,Completed,,Nagad
85,R_200085,C_2881,D_3441,Bashundhara R/A,Savar,2024-09-06 10:38:00,2024-09-06 11:41:00,63,18.12,511.06,3.6,3.5,Canceled,Long waiting time,Cash
86,R_200086,C_2374,D_3088,Mirpur,Mohakhali,2024-11-12 00:12:00,2024-11-12 00:33:00,21,6.93,204.74,3.7,3.2,Completed,,bKash
87,R_200087,C_2211,D_3295,Old Dhaka,Banani,2024-07-04 20:23:00,2024-07-04 20:55:00,32,7.1,205.83,3.7,4.1,Completed,,Card
88,R_200088,C_4352,D_3232,Baridhara,Mohakhali,2024-03-19 04:20:00,2024-03-19 04:28:00,8,2.76,105.34,3.1,3.5,Completed,,Card
89,R_200089,C_3438,D_3007,Uttara,Cantonment,2024-10-19 05:17:00,2024-10-19 05:30:00,13,2.84,93.31,4.5,3.4,Completed,,Card
90,R_200090,C_2645,D_3379,Banani,Rampura,2024-07-18 05:21:00,2024-07-18 05:32:00,11,2.44,87.01,3.2,3.9,Completed,,Nagad
91,R_200091,C_3811,D_3425,Banani,Dhanmondi,2024-04-13 20:37:00,2024-04-13 20:56:00,19,4.87,157.04,4.3,3.1,Completed,,Nagad
92,R_200092,C_2225,D_3008,Dhanmondi,Banani,2024-09-14 19:11:00,2024-09-14 19:53:00,42,11.28,239.03,3.4,3.8,Completed,,Nagad
93,R_200093,C_4289,D_3685,Baridhara,Motijheel,2024-11-25 11:04:00,2024-11-25 11:14:00,10,2.98,91.64,3.6,3.9,Completed,,bKash
94,R_200094,C_3186,D_3118,Mohakhali,Gulshan,2024-07-18 18:08:00,2024-07-18 19:11:00,63,25.49,761.92,4.7,3.5,Completed,,Nagad
95,R_200095,C_2323,D_3406,Cantonment,Banani,2024-07-11 16:38:00,2024-07-11 17:04:00,26,5.22,164.24,3.4,4.6,Completed,,Pathao Pay
96,R_200096,C_2968,D_3106,Uttara,Banani,2024-09-21 18:21:00,2024-09-21 18:35:00,14,3.19,116.89,4.5,4.5,Completed,,Nagad
97,R_200097,C_3324,D_3643,Motijheel,Uttara,2024-05-20 21:29:00,2024-05-20 22:12:00,43,16.99,453.44,3.1,3.9,Completed,,Card
98,R_200098,C_3176,D_3079,Khilgaon,Cantonment,2024-11-15 04:21:00,2024-11-15 05:15:00,54,16.47,441.85,4.8,3.9,Completed,,Pathao Pay
99,R_200099,C_3317,D_3620,Bashundhara R/A,Farmgate,2024-10-15 22:31:00,2024-10-15 23:19:00,48,21.37,439.21,3.1,4.4,Canceled,Incorrect pickup location,Nagad
100,R_200100,C_4498,D_3163,Motijheel,Savar,2024-08-09 11:33:00,2024-08-09 12:21:00,48,17.44,357.5,3.7,3.7,Completed,,bKash
101,R_200101,C_3164,D_3259,Rampura,Cantonment,2024-01-30 04:04:00,2024-01-30 04:51:00,47,9.49,284.73,3.6,4.3,Completed,,Pathao Pay
102,R_200102,C_4438,D_3087,Banani,Farmgate,2024-06-22 03:09:00,2024-06-22 03:30:00,21,7.58,246.62,4.4,4.1,Completed,,bKash
103,R_200103,C_4083,D_3371,Gulshan,Motijheel,2024-07-26 18:46:00,2024-07-26 19:53:00,67,15.53,488.99,3.6,4.6,Completed,,Nagad
104,R_200104,C_4157,D_3039,Khilgaon,Motijheel,2024-02-19 19:21:00,2024-02-19 19:45:00,24,5.37,185.65,4.6,3.3,Completed,,bKash
105,R_200105,C_3493,D_3693,Rampura,Dhanmondi,2024-05-18 04:41:00,2024-05-18 05:43:00,62,15.08,354.03,4.6,4.8,Completed,,Nagad
106,R_200106,C_3805,D_3473,Baridhara,Banani,2024-06-19 07:26:00,2024-06-19 07:51:00,25,10.01,299.2,3.5,4.3,Completed,,Nagad
107,R_200107,C_2421,D_3529,Cantonment,Mirpur,2024-08-08 21:11:00,2024-08-08 21:50:00,39,11.75,320.5,3.2,4.8,Completed,,Card
108,R_200108,C_2110,D_3425,Gulshan,Mohakhali,2024-04-18 12:44:00,2024-04-18 12:59:00,15,4.22,116,4.7,4.3,Completed,,Pathao Pay
109,R_200109,C_2157,D_3294,Savar,Cantonment,2024-05-04 01:06:00,2024-05-04 02:11:00,65,19.57,375.08,3.5,4.7,Completed,,Nagad
110,R_200110,C_4162,D_3434,Mirpur,Baridhara,2024-08-06 16:40:00,2024-08-06 16:51:00,11,2.69,101.5,3.1,4.7,Completed,,Nagad
111,R_200111,C_2068,D_3648,Farmgate,Old Dhaka,2024-08-30 01:50:00,2024-08-30 02:49:00,59,10.64,267.98,3.4,4.3,Completed,,Card
112,R_200112,C_2278,D_3539,Farmgate,Baridhara,2024-04-16 06:58:00,2024-04-16 08:03:00,65,12.46,309.59,4.5,3.7,Completed,,Pathao Pay
113,R_200113,C_2425,D_3596,Rampura,Baridhara,2024-07-14 19:57:00,2024-07-14 21:11:00,74,20.08,552.94,4.4,5,Completed,,Pathao Pay
114,R_200114,C_2553,D_3065,Rampura,Baridhara,2024-05-11 22:41:00,2024-05-11 22:51:00,10,3.94,139.11,3.6,3.8,Completed,,bKash
115,R_200115,C_3038,D_3038,Baridhara,Khilgaon,2024-09-25 14:37:00,2024-09-25 14:48:00,11,4.55,122.51,3.7,4.8,Completed,,bKash
116,R_200116,C_3389,D_3192,Bashundhara R/A,Rampura,2024-04-21 12:00:00,2024-04-21 13:11:00,71,17.89,368.25,3.9,5,Completed,,Card
117,R_200117,C_3316,D_3106,Mirpur,Motijheel,2024-01-28 14:40:00,2024-01-28 15:39:00,59,13.27,338.49,4.5,4.8,Completed,,bKash
118,R_200118,C_3125,D_3655,Baridhara,Gulshan,2024-11-23 02:19:00,2024-11-23 03:10:00,51,16.25,461.93,3.1,4.7,Completed,,bKash
119,R_200119,C_2143,D_3130,Mirpur,Dhanmondi,2024-02-05 12:36:00,2024-02-05 12:45:00,9,3.09,119.78,3.7,4.5,Completed,,Nagad
120,R_200120,C_3504,D_3408,Motijheel,Khilgaon,2024-08-11 16:52:00,2024-08-11 17:20:00,28,8.81,230.73,3.5,3.5,Completed,,Nagad
121,R_200121,C_3170,D_3503,Dhanmondi,Mirpur,2024-10-23 21:31:00,2024-10-23 22:32:00,61,27.4,799.05,5,4.3,Completed,,Nagad
122,R_200122,C_4221,D_3298,Savar,Banani,2024-10-12 01:14:00,2024-10-12 01:41:00,27,10.65,279.15,3.4,3.3,Completed,,Cash
123,R_200123,C_3479,D_3568,Old Dhaka,Motijheel,2024-05-06 06:51:00,2024-05-06 07:07:00,16,3.16,106.32,4,3.8,Completed,,Nagad
124,R_200124,C_2303,D_3129,Motijheel,Khilgaon,2024-11-24 09:30:00,2024-11-24 10:41:00,71,19.38,588.62,4.3,3.4,Canceled,Long waiting time,Nagad
125,R_200125,C_2227,D_3128,Farmgate,Uttara,2024-07-29 18:49:00,2024-07-29 19:22:00,33,9.02,302.1,4.7,3.5,Completed,,Nagad
126,R_200126,C_3125,D_3129,Khilgaon,Banani,2024-02-21 06:54:00,2024-02-21 07:20:00,26,8.83,243.89,4.2,4.8,Completed,,Nagad
127,R_200127,C_2169,D_3030,Mirpur,Gulshan,2024-02-07 05:43:00,2024-02-07 06:14:00,31,12,308.77,4,4.3,Completed,,Card
128,R_200128,C_3979,D_3251,Baridhara,Khilgaon,2024-06-07 14:30:00,2024-06-07 14:42:00,12,2.67,90.67,3.7,3.3,Completed,,Card
129,R_200129,C_3415,D_3409,Uttara,Baridhara,2024-06-25 07:24:00,2024-06-25 08:09:00,45,11.04,243.94,3.3,3.1,Canceled,Incorrect pickup location,bKash
130,R_200130,C_3017,D_3164,Cantonment,Motijheel,2024-03-11 00:39:00,2024-03-11 01:04:00,25,7.86,220,3.6,3,Canceled,Incorrect pickup location,bKash
131,R_200131,C_2987,D_3221,Old Dhaka,Motijheel,2024-12-07 22:41:00,2024-12-07 23:46:00,65,16.71,324.57,3.3,3.5,Completed,,bKash
132,R_200132,C_3499,D_3047,Mohakhali,Gulshan,2024-03-15 06:47:00,2024-03-15 08:02:00,75,19.34,466.79,4.1,4.7,Completed,,Nagad
133,R_200133,C_2487,D_3132,Mirpur,Mohakhali,2024-06-23 13:24:00,2024-06-23 13:47:00,23,5.38,159.71,3.1,3.3,Completed,,bKash
134,R_200134,C_4128,D_3468,Uttara,Old Dhaka,2024-04-12 19:39:00,2024-04-12 20:24:00,45,10.07,335.75,3.6,3.7,Completed,,Nagad
135,R_200135,C_4007,D_3577,Banani,Bashundhara R/A,2024-12-23 12:38:00,2024-12-23 12:57:00,19,8.45,247.22,4.5,4.4,Completed,,bKash
136,R_200136,C_3088,D_3672,Baridhara,Old Dhaka,2024-03-11 16:13:00,2024-03-11 17:19:00,66,14.92,413.58,4.7,3.3,Completed,,Cash
137,R_200137,C_4346,D_3113,Dhanmondi,Gulshan,2024-05-20 13:33:00,2024-05-20 14:30:00,57,20.89,514.39,4.8,4.7,Completed,,Cash
138,R_200138,C_2566,D_3532,Dhanmondi,Farmgate,2024-07-18 02:29:00,2024-07-18 03:22:00,53,14.03,319.94,3.7,3.7,Completed,,Card
139,R_200139,C_4499,D_3496,Dhanmondi,Banani,2024-03-21 14:45:00,2024-03-21 15:26:00,41,15.18,428.75,4,4.1,Canceled,Traffic,Card
140,R_200140,C_2500,D_3588,Khilgaon,Farmgate,2024-06-20 11:07:00,2024-06-20 11:30:00,23,5.94,161.71,3.7,3.9,Completed,,bKash
141,R_200141,C_2877,D_3207,Cantonment,Farmgate,2024-08-15 06:15:00,2024-08-15 06:37:00,22,4.61,148.75,3.1,4.8,Completed,,Pathao Pay
142,R_200142,C_2216,D_3103,Mohakhali,Motijheel,2024-05-04 20:16:00,2024-05-04 20:38:00,22,3.99,136.75,3.8,4.9,Completed,,bKash
143,R_200143,C_2817,D_3295,Motijheel,Banani,2024-02-05 22:01:00,2024-02-05 22:17:00,16,5.7,153.26,4.7,3.1,Canceled,Long waiting time,Pathao Pay
144,R_200144,C_2149,D_3407,Baridhara,Bashundhara R/A,2024-09-27 00:04:00,2024-09-27 00:46:00,42,17.5,348.31,3.2,5,Completed,,Nagad
145,R_200145,C_4148,D_3506,Savar,Uttara,2024-04-17 09:42:00,2024-04-17 10:01:00,19,5.12,170.05,4.4,3,Completed,,Card
146,R_200146,C_4326,D_3691,Baridhara,Dhanmondi,2024-10-03 04:05:00,2024-10-03 05:01:00,56,22.58,567.8,4.3,3.4,Completed,,Card
147,R_200147,C_3017,D_3007,Banani,Mohakhali,2024-09-02 09:11:00,2024-09-02 09:58:00,47,12.29,348.06,4.3,4.4,Completed,,Cash
148,R_200148,C_3907,D_3315,Uttara,Mohakhali,2024-01-15 07:00:00,2024-01-15 07:44:00,44,16.12,452.53,3.7,3.4,Canceled,Long waiting time,Pathao Pay
149,R_200149,C_3864,D_3621,Motijheel,Mohakhali,2024-01-07 06:01:00,2024-01-07 07:14:00,73,28.95,843.15,4.4,4.2,Completed,,Nagad
150,R_200150,C_3830,D_3541,Rampura,Motijheel,2024-11-22 05:52:00,2024-11-22 07:07:00,75,31.78,679.87,3.3,4.7,Completed,,Pathao Pay
151,R_200151,C_4389,D_3501,Mirpur,Savar,2024-04-14 09:08:00,2024-04-14 10:11:00,63,13.58,343.42,4.1,4.3,Completed,,Cash
152,R_200152,C_3622,D_3261,Cantonment,Gulshan,2024-09-11 05:55:00,2024-09-11 06:54:00,59,16.11,342.19,4.9,3.1,Canceled,Driver no-show,Card
153,R_200153,C_3675,D_3185,Baridhara,Uttara,2024-02-07 00:18:00,2024-02-07 01:10:00,52,23.3,563.73,4.8,3.8,Completed,,Nagad
154,R_200154,C_2545,D_3670,Cantonment,Motijheel,2024-11-01 18:25:00,2024-11-01 19:37:00,72,15.44,495.95,4.5,5,Completed,,Nagad
155,R_200155,C_3738,D_3545,Mohakhali,Cantonment,2024-09-05 16:30:00,2024-09-05 16:54:00,24,6.11,213.21,3.2,4.6,Completed,,Cash
156,R_200156,C_2986,D_3212,Mirpur,Old Dhaka,2024-12-14 09:21:00,2024-12-14 09:32:00,11,2.71,79,4.1,4.5,Completed,,Pathao Pay
157,R_200157,C_4064,D_3297,Dhanmondi,Cantonment,2024-03-12 13:23:00,2024-03-12 14:09:00,46,11.22,359.65,4,3.8,Completed,,Nagad
158,R_200158,C_4424,D_3180,Khilgaon,Mohakhali,2024-03-22 08:56:00,2024-03-22 09:49:00,53,20.78,481.85,3.3,3.8,Completed,,bKash
159,R_200159,C_2988,D_3231,Banani,Cantonment,2024-01-04 19:08:00,2024-01-04 19:20:00,12,3.98,149.01,3.3,3.5,Completed,,Cash
160,R_200160,C_3843,D_3380,Mirpur,Farmgate,2024-09-25 22:42:00,2024-09-25 22:52:00,10,4.16,119.51,4.4,4.1,Completed,,Card
161,R_200161,C_3242,D_3016,Dhanmondi,Savar,2024-09-25 00:52:00,2024-09-25 01:58:00,66,28.18,776.55,3.8,3.5,Completed,,Card
162,R_200162,C_3560,D_3478,Farmgate,Khilgaon,2024-07-01 14:43:00,2024-07-01 15:53:00,70,29.29,727.07,4.4,4.5,Completed,,Pathao Pay
163,R_200163,C_3519,D_3321,Mohakhali,Gulshan,2024-03-18 16:12:00,2024-03-18 16:19:00,7,1.75,82.71,3.8,3.3,Completed,,bKash
164,R_200164,C_4334,D_3252,Bashundhara R/A,Farmgate,2024-01-31 02:38:00,2024-01-31 03:45:00,67,29.54,789,3.3,4.6,Completed,,Nagad
